map,mode,result,stop_category,game_time,total_sectors,sectors_entered,sector_entered_percent,sectors_observed,max_depth,items_discovered,items_picked_up,keys,interactions_discovered,interactions_activated,route_plans,route_failures,repeat_selections,loop_breaks,topology_rebuilds,no_new_sector_seconds,wall_seconds
E1M1,nodudes,DIED,environmental_or_scripted_damage,570,155,26,16.77,30,16,5,2,0,26,7,341,1833,33,1,137,162,
E1M1,normal,DIED,combat_or_environmental_death,578,155,26,16.77,30,16,5,2,0,26,7,396,1833,33,1,153,162,
E1M2,nodudes,DIED,environmental_or_scripted_damage,70,313,5,1.6,7,2,1,1,0,4,2,44,242,0,0,24,57,
E1M2,normal,DIED,combat_or_environmental_death,167,313,5,1.6,7,2,1,1,0,5,3,461,50,0,0,55,154,
E1M3,nodudes,DIED,environmental_or_scripted_damage,70,329,12,3.65,12,4,4,2,0,32,0,11,19,0,0,12,11,
E1M3,normal,DIED,combat_or_environmental_death,35,329,8,2.43,11,6,5,2,0,29,0,13,25,0,0,17,3,
E1M4,nodudes,LOOP_DETECTED,navigation_or_goal_loop,316,398,4,1.01,6,2,1,1,0,0,0,9,0,0,6,6,304,
E1M4,normal,STALLED,navigation_dead_end,318,398,4,1.01,6,2,1,1,0,0,0,8,39,0,5,6,306,
E1M5,nodudes,STALLED,traversal_execution_stall,307,429,1,0.23,2,0,2,2,0,7,0,0,0,0,5,2,307,
E1M5,normal,DIED,combat_or_environmental_death,167,429,13,3.03,15,9,4,2,0,10,0,319,54,0,0,40,19,
E1M6,nodudes,STALLED,navigation_dead_end,324,526,14,2.66,14,11,6,1,0,1,0,2,0,0,5,14,301,
E1M6,normal,STALLED,navigation_dead_end,405,526,15,2.85,15,11,8,2,0,1,0,309,47,0,0,31,332,
E1M7,nodudes,TIMEOUT,traversal_execution_stall,600,53,31,58.49,32,17,17,13,0,0,0,367,78,2,2,75,289,
E1M7,normal,DIED,combat_or_environmental_death,526,53,31,58.49,31,17,21,12,0,0,0,345,123,6,0,122,183,
E1M8,nodudes,TIMEOUT,navigation_dead_end,600,433,57,13.16,59,44,10,4,0,43,3,833,181,11,1,1549,238,
E1M8,normal,DIED,combat_or_environmental_death,88,433,6,1.39,6,2,2,1,0,17,0,314,0,0,0,12,65,
E2M1,nodudes,WALL_TIMEOUT,wall_clock_performance_limit,16,0,4,,4,3,3,0,0,0,0,42,57,0,0,58,7,
E2M1,normal,WALL_TIMEOUT,wall_clock_performance_limit,16,0,4,,4,3,3,0,0,0,0,41,57,0,0,58,7,
E2M2,nodudes,DIED,environmental_or_scripted_damage,245,290,7,2.41,7,5,2,1,0,2,0,115,40,0,3,259,28,
E2M2,normal,DIED,combat_or_environmental_death,215,290,7,2.41,7,5,2,1,0,2,0,71,40,0,3,178,103,
E2M3,nodudes,TIMEOUT,navigation_dead_end,600,340,39,11.47,39,18,17,5,0,7,1,36,1274,19,0,38,443,
E2M3,normal,DIED,combat_or_environmental_death,90,340,5,1.47,5,4,11,1,0,3,0,238,64,0,0,5,9,
E2M4,nodudes,DIED,environmental_or_scripted_damage,486,632,57,9.02,60,28,12,5,0,19,3,102,75,2,0,54,75,
E2M4,normal,DIED,combat_or_environmental_death,110,632,10,1.58,11,7,3,3,0,1,0,349,96,0,0,22,11,
E2M5,nodudes,LOOP_DETECTED,navigation_or_goal_loop,340,788,20,2.54,20,12,2,1,0,1,0,6,0,0,6,20,297,
E2M5,normal,LOOP_DETECTED,navigation_or_goal_loop,340,788,20,2.54,20,12,2,1,0,1,0,6,0,0,6,20,297,
E2M6,nodudes,DIED,environmental_or_scripted_damage,338,237,10,4.22,13,7,12,9,0,5,0,214,293,3,3,717,228,
E2M6,normal,DIED,combat_or_environmental_death,102,237,4,1.69,7,3,8,3,0,1,0,155,386,1,0,600,19,
E2M7,nodudes,STALLED,traversal_execution_stall,304,449,3,0.67,3,1,3,0,0,0,0,1,0,0,5,3,300,
E2M7,normal,STALLED,traversal_execution_stall,304,449,3,0.67,3,1,3,0,0,0,0,1,0,0,5,3,300,
E2M8,nodudes,DIED,environmental_or_scripted_damage,235,59,9,15.25,9,7,4,3,0,1,0,14,40,0,3,8,176,
E2M8,normal,DIED,combat_or_environmental_death,225,59,9,15.25,9,7,4,3,0,1,0,40,40,0,2,8,166,
E2M9,nodudes,STALLED,traversal_execution_stall,571,166,1,0.6,1,0,4,3,0,0,0,1,0,2,0,1,571,
E2M9,normal,STALLED,traversal_execution_stall,571,166,1,0.6,1,0,4,3,0,0,0,1,0,2,0,1,571,
E3M1,nodudes,STALLED,prerequisite_unresolved,497,382,13,3.4,13,11,5,5,0,8,2,40,0,0,5,12,408,
E3M1,normal,LOOP_DETECTED,navigation_or_goal_loop,597,382,13,3.4,13,11,5,5,0,8,1,142,21,0,6,14,417,
E3M2,nodudes,LOOP_DETECTED,navigation_or_goal_loop,415,567,8,1.41,8,3,3,0,0,5,1,20,0,2,6,6,294,
E3M2,normal,DIED,combat_or_environmental_death,186,567,13,2.29,15,5,4,0,0,6,2,504,0,2,0,15,133,
E3M3,nodudes,STALLED,navigation_dead_end,394,309,25,8.09,25,23,6,3,0,1,0,38,192,7,2,25,311,
E3M3,normal,DIED,combat_or_environmental_death,111,309,27,8.74,27,26,6,3,0,2,0,60,123,0,0,63,3,
E3M4,nodudes,STALLED,prerequisite_unresolved,322,434,7,1.61,9,5,2,1,0,4,0,56,0,30,0,7,302,
E3M4,normal,DIED,combat_or_environmental_death,278,434,19,4.38,25,10,5,2,0,29,0,466,42,0,2,27,1,
E3M5,nodudes,LOOP_DETECTED,navigation_or_goal_loop,433,341,33,9.68,33,26,7,2,0,6,3,2526,2,4,6,2551,334,
E3M5,normal,DIED,combat_or_environmental_death,94,341,17,4.99,17,13,1,0,0,4,2,163,0,0,0,26,14,
