map,mode,result,stop_category,game_time,total_sectors,sectors_entered,sector_entered_percent,sectors_observed,max_depth,items_discovered,items_picked_up,keys,interactions_discovered,interactions_activated,route_plans,route_failures,repeat_selections,loop_breaks,topology_rebuilds,no_new_sector_seconds,wall_seconds
E3M6,nodudes,LOOP_DETECTED,navigation_or_goal_loop,328,533,14,2.63,14,8,7,3,0,13,0,6,8,0,6,14,296,
E3M6,normal,STALLED,prerequisite_unresolved,518,533,17,3.19,17,14,8,0,0,14,2,219,114,5,0,48,454,
E3M7,nodudes,STALLED,navigation_dead_end,328,142,16,11.27,17,12,4,2,0,0,0,15,234,7,0,14,306,
E3M7,normal,STALLED,navigation_dead_end,328,142,16,11.27,17,12,4,2,0,0,0,15,234,7,0,14,306,
E3M8,nodudes,STALLED,prerequisite_unresolved,532,631,42,6.66,42,27,7,5,0,4,2,159,5,6,5,70,313,
E3M8,normal,DIED,combat_or_environmental_death,28,631,2,0.32,2,1,3,1,0,0,0,12,5,0,0,2,24,
E4M1,nodudes,STALLED,exploration_oscillation,369,215,20,9.3,22,13,3,1,0,6,0,23,45,0,1,19,305,
E4M1,normal,DIED,combat_or_environmental_death,170,215,21,9.77,23,14,3,1,0,6,0,454,173,2,0,286,76,
E4M2,nodudes,LOOP_DETECTED,navigation_or_goal_loop,308,291,8,2.75,8,7,2,2,0,0,0,0,0,0,6,7,301,
E4M2,normal,LOOP_DETECTED,navigation_or_goal_loop,308,291,8,2.75,8,7,2,2,0,0,0,0,0,0,6,7,301,
E4M3,nodudes,DIED,environmental_or_scripted_damage,210,471,4,0.85,4,2,0,0,0,0,0,4,0,0,2,4,202,
E4M3,normal,DIED,combat_or_environmental_death,233,471,4,0.85,4,2,0,0,0,0,0,4,0,0,3,4,225,
E4M4,nodudes,LOOP_DETECTED,navigation_or_goal_loop,367,258,7,2.71,8,3,9,4,0,0,0,30,45,1,6,6,340,
E4M4,normal,DIED,combat_or_environmental_death,63,258,6,2.33,7,3,3,0,0,0,0,73,95,0,0,153,32,
E4M5,nodudes,DIED,environmental_or_scripted_damage,91,252,9,3.57,9,5,13,7,0,6,0,208,0,1,0,176,8,
E4M5,normal,DIED,combat_or_environmental_death,216,252,4,1.59,5,1,12,4,0,0,0,575,146,2,0,272,8,
E4M6,nodudes,TIMEOUT,timeout_while_progressing,600,519,29,5.59,30,23,13,11,0,9,3,110,504,14,1,31,250,
E4M6,normal,DIED,combat_or_environmental_death,22,519,8,1.54,8,7,5,0,0,0,0,4,45,0,0,8,7,
E4M7,nodudes,STALLED,unknown_no_progress_nodudes,374,147,14,9.52,15,8,15,5,0,0,0,139,28,0,0,284,300,
E4M7,normal,DIED,combat_or_environmental_death,85,147,8,5.44,9,3,7,2,0,0,0,206,71,1,0,445,31,
E4M8,nodudes,TIMEOUT,navigation_dead_end,600,80,26,32.5,26,12,11,3,0,2,1,155,39,9,4,26,534,
E4M8,normal,TIMEOUT,navigation_dead_end,600,80,26,32.5,26,12,11,3,0,2,1,155,39,9,4,26,534,
E4M9,nodudes,TIMEOUT,timeout_or_efficiency,600,228,19,8.33,20,15,12,3,0,10,1,3933,0,0,0,17,523,
E4M9,normal,DIED,combat_or_environmental_death,82,228,7,3.07,7,4,7,1,0,9,0,199,85,0,0,86,4,
E6M1,nodudes,STALLED,navigation_dead_end,561,123,28,22.76,28,15,16,7,1,50,4,97,1823,34,0,80,327,
E6M1,normal,DIED,combat_or_environmental_death,388,123,5,4.07,5,4,6,1,0,21,0,854,109,9,0,248,291,
E6M2,nodudes,LOOP_DETECTED,navigation_or_goal_loop,352,271,7,2.58,8,4,6,3,0,0,0,15,35,1,6,8,316,
E6M2,normal,DIED,combat_or_environmental_death,60,271,8,2.95,8,5,6,2,0,0,0,37,17,1,0,63,23,
E6M3,nodudes,STALLED,navigation_dead_end,365,240,10,4.17,10,6,11,3,0,3,0,158,2267,0,5,10,303,
E6M3,normal,DIED,combat_or_environmental_death,40,240,6,2.5,6,5,7,2,0,0,0,94,4,0,0,91,12,
E6M4,nodudes,DIED,environmental_or_scripted_damage,71,373,15,4.02,16,9,9,4,0,7,0,33,0,0,0,13,1,
E6M4,normal,DIED,combat_or_environmental_death,80,373,10,2.68,11,6,3,1,0,0,0,215,100,1,0,50,10,
E6M5,nodudes,DIED,environmental_or_scripted_damage,195,340,8,2.35,8,4,0,0,0,0,0,16,0,0,1,8,19,
E6M5,normal,DIED,combat_or_environmental_death,41,340,5,1.47,5,4,0,0,0,0,0,178,0,0,0,5,23,
E6M6,nodudes,LOOP_DETECTED,navigation_or_goal_loop,297,372,1,0.27,1,0,0,0,0,0,0,0,0,0,6,1,297,
E6M6,normal,LOOP_DETECTED,navigation_or_goal_loop,297,372,1,0.27,1,0,0,0,0,0,0,0,0,0,6,1,297,
E6M7,nodudes,LOOP_DETECTED,navigation_or_goal_loop,376,472,7,1.48,7,3,4,4,0,4,0,26,0,0,6,5,295,
E6M7,normal,LOOP_DETECTED,navigation_or_goal_loop,427,472,7,1.48,7,3,4,4,0,4,0,73,0,1,6,8,346,
E6M8,nodudes,TIMEOUT,timeout_while_progressing,600,85,46,54.12,48,38,101,33,0,10,0,53,0,10,0,46,24,
E6M8,normal,DIED,combat_or_environmental_death,454,85,22,25.88,23,17,59,10,0,5,0,180,1528,25,0,63,8,
E6M9,nodudes,STALLED,exploration_oscillation,317,157,2,1.27,2,1,6,1,0,12,0,4,6,0,5,2,307,
E6M9,normal,LOOP_DETECTED,navigation_or_goal_loop,457,157,2,1.27,2,1,6,1,0,13,0,68,6,0,6,2,440,
