map,mode,result,stop_category,game_time,total_sectors,sectors_entered,sector_entered_percent,sectors_observed,max_depth,items_discovered,items_picked_up,keys,interactions_discovered,interactions_activated,route_plans,route_failures,repeat_selections,loop_breaks,topology_rebuilds,no_new_sector_seconds,wall_seconds
E1M1,nodudes,TIMEOUT,interaction_unresolved,600,155,26,16.77,30,16,5,2,0,26,6,338,1602,27,1,46,192,5.907
E1M1,normal,DIED,combat_blocked,515,155,26,16.77,30,16,5,2,0,26,6,354,1602,26,1,47,99,6.39
E1M2,nodudes,DIED,combat_blocked,70,313,5,1.6,7,2,1,1,0,4,2,53,242,0,0,11,57,5.39
E1M2,normal,DIED,combat_blocked,167,313,5,1.6,7,2,1,1,0,5,3,455,50,0,0,14,154,5.375
E1M3,nodudes,DIED,combat_blocked,70,329,12,3.65,12,4,4,2,0,32,0,11,19,0,0,12,11,6.172
E1M3,normal,DIED,combat_blocked,37,329,9,2.74,10,7,5,2,0,23,0,13,26,0,0,13,2,5.86
E1M4,nodudes,LOOP_DETECTED,navigation_or_goal_loop,316,398,4,1.01,6,2,1,1,0,0,0,9,0,0,6,6,304,5.625
E1M4,normal,STALLED,navigation_dead_end,318,398,4,1.01,6,2,1,1,0,0,0,8,39,0,5,6,306,5.546
E1M5,nodudes,STALLED,traversal_execution_stall,307,429,1,0.23,2,0,2,2,0,7,0,0,0,0,5,2,307,5.406
E1M5,normal,DIED,combat_blocked,159,429,12,2.8,14,8,3,2,0,10,0,306,0,0,0,16,10,5.391
E1M6,nodudes,STALLED,navigation_dead_end,324,526,14,2.66,14,11,6,1,0,1,0,2,0,0,5,14,301,5.359
E1M6,normal,STALLED,navigation_dead_end,405,526,15,2.85,15,11,8,2,0,1,0,314,40,0,0,21,332,5.438
E1M7,nodudes,TIMEOUT,traversal_execution_stall,600,53,31,58.49,32,17,17,13,0,0,0,395,78,2,2,37,286,7.25
E1M7,normal,TIMEOUT,navigation_dead_end,600,53,31,58.49,31,17,21,12,0,0,0,344,159,8,0,46,257,7.235
E1M8,nodudes,STALLED,navigation_dead_end,582,433,56,12.93,60,44,9,3,0,38,2,335,69,1,0,219,370,7.031
E1M8,normal,DIED,combat_blocked,88,433,6,1.39,6,2,2,1,0,17,0,307,0,0,0,8,65,5.328
E2M1,nodudes,WALL_TIMEOUT,wall_clock_performance_limit,71,0,4,,4,3,3,0,0,0,0,61,58,0,0,57,62,30.156
E2M1,normal,WALL_TIMEOUT,wall_clock_performance_limit,65,0,4,,4,3,3,0,0,0,0,26,19,0,0,53,56,30.156
E2M2,nodudes,DIED,combat_blocked,245,290,7,2.41,7,5,2,1,0,2,0,7,42,0,3,54,29,5.39
E2M2,normal,DIED,combat_blocked,215,290,7,2.41,7,5,2,1,0,2,0,11,42,0,2,43,102,5.407
E2M3,nodudes,TIMEOUT,navigation_dead_end,600,340,39,11.47,39,18,17,5,0,7,1,36,1274,19,0,38,443,6.125
E2M3,normal,DIED,combat_blocked,90,340,5,1.47,5,4,11,1,0,3,0,238,64,0,0,5,9,5.391
E2M4,nodudes,DIED,combat_blocked,486,632,57,9.02,60,28,12,5,0,19,3,102,75,2,0,52,75,6.078
E2M4,normal,DIED,combat_blocked,176,632,11,1.74,11,8,3,3,0,2,1,552,125,1,0,36,12,5.36
E2M5,nodudes,LOOP_DETECTED,navigation_or_goal_loop,340,788,20,2.54,20,12,2,1,0,1,0,6,0,0,6,20,297,5.375
E2M5,normal,LOOP_DETECTED,navigation_or_goal_loop,340,788,20,2.54,20,12,2,1,0,1,0,6,0,0,6,20,297,5.437
E2M6,nodudes,TIMEOUT,exploration_oscillation,600,237,13,5.49,15,8,14,11,0,6,1,1092,3,5,1,308,125,11.062
E2M6,normal,DIED,combat_blocked,52,237,3,1.27,6,2,8,3,0,1,0,15,203,0,0,34,31,5.437
E2M7,nodudes,STALLED,traversal_execution_stall,304,449,3,0.67,3,1,3,0,0,0,0,1,0,0,5,3,300,5.313
E2M7,normal,STALLED,traversal_execution_stall,304,449,3,0.67,3,1,3,0,0,0,0,1,0,0,5,3,300,5.329
E2M8,nodudes,DIED,combat_blocked,235,59,9,15.25,9,7,4,3,0,1,0,14,40,0,3,8,176,5.406
E2M8,normal,DIED,combat_blocked,225,59,9,15.25,9,7,4,3,0,1,0,40,40,0,2,8,166,5.406
E2M9,nodudes,STALLED,traversal_execution_stall,571,166,1,0.6,1,0,4,3,0,0,0,1,0,2,0,1,571,5.984
E2M9,normal,STALLED,traversal_execution_stall,571,166,1,0.6,1,0,4,3,0,0,0,1,0,2,0,1,571,6.016
E3M1,nodudes,STALLED,prerequisite_unresolved,497,382,13,3.4,13,11,5,5,0,8,2,40,0,0,5,12,408,6.547
E3M1,normal,LOOP_DETECTED,navigation_or_goal_loop,597,382,13,3.4,13,11,5,5,0,8,1,142,21,0,6,14,417,7.016
E3M2,nodudes,LOOP_DETECTED,navigation_or_goal_loop,415,567,8,1.41,8,3,3,0,0,5,1,20,0,2,6,6,294,5.656
E3M2,normal,DIED,combat_blocked,186,567,13,2.29,15,5,4,0,0,6,2,504,0,2,0,15,133,5.406
E3M3,nodudes,STALLED,navigation_dead_end,394,309,25,8.09,25,23,6,3,0,1,0,38,192,7,2,25,311,5.36
E3M3,normal,DIED,combat_blocked,111,309,27,8.74,27,26,6,3,0,2,0,32,117,0,0,35,2,5.328
E3M4,nodudes,STALLED,prerequisite_unresolved,322,434,7,1.61,9,5,2,1,0,4,0,56,0,30,0,7,302,5.484
E3M4,normal,STALLED,prerequisite_unresolved,438,434,7,1.61,9,5,2,1,0,4,0,544,39,30,0,12,389,5.656
E3M5,nodudes,DIED,combat_blocked,326,341,33,9.68,33,26,7,2,0,6,3,898,2,2,4,231,227,5.781
E3M5,normal,DIED,combat_blocked,94,341,17,4.99,17,13,1,0,0,4,2,157,0,0,0,18,14,5.453
E3M6,nodudes,LOOP_DETECTED,navigation_or_goal_loop,328,533,14,2.63,14,8,7,3,0,13,0,6,8,0,6,14,296,5.406
E3M6,normal,DIED,combat_blocked,175,533,17,3.19,17,14,7,0,0,14,2,219,30,2,0,29,111,5.422
E3M7,nodudes,STALLED,navigation_dead_end,328,142,16,11.27,17,12,4,2,0,0,0,15,234,7,0,14,306,5.39
E3M7,normal,STALLED,navigation_dead_end,328,142,16,11.27,17,12,4,2,0,0,0,15,234,7,0,14,306,5.375
E3M8,nodudes,LOOP_DETECTED,navigation_or_goal_loop,425,631,42,6.66,42,27,7,5,0,4,2,113,5,4,6,42,206,5.704
E3M8,normal,DIED,combat_blocked,28,631,2,0.32,2,1,3,1,0,0,0,12,5,0,0,2,24,5.375
E4M1,nodudes,STALLED,exploration_oscillation,369,215,20,9.3,22,13,3,1,0,6,0,23,45,0,1,19,305,5.469
E4M1,normal,DIED,combat_blocked,116,215,18,8.37,20,12,3,1,0,6,0,246,69,0,0,56,42,5.359
E4M2,nodudes,LOOP_DETECTED,navigation_or_goal_loop,308,291,8,2.75,8,7,2,2,0,0,0,0,0,0,6,7,301,5.343
E4M2,normal,LOOP_DETECTED,navigation_or_goal_loop,308,291,8,2.75,8,7,2,2,0,0,0,0,0,0,6,7,301,5.281
E4M3,nodudes,DIED,combat_blocked,210,471,4,0.85,4,2,0,0,0,0,0,4,0,0,2,4,202,5.391
E4M3,normal,DIED,combat_blocked,233,471,4,0.85,4,2,0,0,0,0,0,4,0,0,3,4,225,5.407
E4M4,nodudes,LOOP_DETECTED,navigation_or_goal_loop,367,258,7,2.71,8,3,9,4,0,0,0,30,45,1,6,6,340,5.407
E4M4,normal,DIED,combat_blocked,85,258,5,1.94,6,3,3,0,0,0,0,174,184,0,0,36,67,5.375
E4M5,nodudes,DIED,combat_blocked,92,252,9,3.57,9,5,13,7,0,6,0,37,1,0,0,24,10,5.532
E4M5,normal,DIED,combat_blocked,194,252,4,1.59,5,1,15,4,0,0,0,406,24,2,0,55,10,5.843
E4M6,nodudes,TIMEOUT,timeout_while_progressing,600,519,29,5.59,30,23,13,11,0,9,3,110,504,14,1,31,250,5.641
E4M6,normal,DIED,combat_blocked,22,519,8,1.54,8,7,5,0,0,0,0,4,45,0,0,8,7,5.391
E4M7,nodudes,STALLED,unknown_no_progress_nodudes,410,147,16,10.88,19,8,16,7,0,0,0,127,45,0,0,88,300,5.625
E4M7,normal,DIED,combat_blocked,97,147,9,6.12,10,4,5,2,0,0,0,98,25,0,0,75,29,5.375
E4M8,nodudes,TIMEOUT,navigation_dead_end,600,80,26,32.5,26,12,11,3,0,2,1,155,39,9,4,26,534,6.86
E4M8,normal,TIMEOUT,navigation_dead_end,600,80,26,32.5,26,12,11,3,0,2,1,155,39,9,4,26,534,6.766
E4M9,nodudes,TIMEOUT,timeout_or_efficiency,600,228,19,8.33,20,15,12,3,0,10,1,3933,0,0,0,17,523,6.187
E4M9,normal,DIED,combat_blocked,127,228,9,3.95,9,3,7,1,0,12,0,295,94,0,0,23,52,5.329
E6M1,nodudes,TIMEOUT,navigation_dead_end,600,123,29,23.58,29,14,16,7,1,51,5,85,1472,27,0,42,249,6.532
E6M1,normal,DIED,combat_blocked,284,123,13,10.57,14,7,11,3,0,29,0,627,492,1,0,97,47,6.281
E6M2,nodudes,LOOP_DETECTED,navigation_or_goal_loop,352,271,7,2.58,8,4,6,3,0,0,0,15,35,1,6,8,316,5.391
E6M2,normal,DIED,combat_blocked,63,271,8,2.95,8,5,7,2,0,0,0,19,28,4,0,21,26,5.328
E6M3,nodudes,STALLED,navigation_dead_end,365,240,10,4.17,10,6,11,3,0,3,0,158,2267,0,5,10,303,13.812
E6M3,normal,DIED,combat_blocked,152,240,8,3.33,8,5,14,2,0,2,0,290,56,0,0,81,18,6.781
E6M4,nodudes,DIED,environmental_or_scripted_damage,71,373,15,4.02,16,9,9,4,0,7,0,33,0,0,0,13,1,5.39
E6M4,normal,DIED,combat_blocked,86,373,11,2.95,11,6,5,1,0,1,0,263,41,1,0,30,5,5.391
E6M5,nodudes,DIED,combat_blocked,195,340,8,2.35,8,4,0,0,0,0,0,16,0,0,1,8,19,5.375
E6M5,normal,DIED,combat_blocked,41,340,5,1.47,5,4,0,0,0,0,0,178,0,0,0,5,23,5.391
E6M6,nodudes,LOOP_DETECTED,navigation_or_goal_loop,297,372,1,0.27,1,0,0,0,0,0,0,0,0,0,6,1,297,5.391
E6M6,normal,LOOP_DETECTED,navigation_or_goal_loop,297,372,1,0.27,1,0,0,0,0,0,0,0,0,0,6,1,297,5.391
E6M7,nodudes,LOOP_DETECTED,navigation_or_goal_loop,376,472,7,1.48,7,3,4,4,0,4,0,26,0,0,6,5,295,5.344
E6M7,normal,LOOP_DETECTED,navigation_or_goal_loop,427,472,7,1.48,7,3,4,4,0,4,0,73,0,1,6,7,346,6.062
E6M8,nodudes,TIMEOUT,timeout_while_progressing,600,85,46,54.12,48,38,101,33,0,10,0,53,0,10,0,46,24,6.375
E6M8,normal,DIED,combat_blocked,350,85,27,31.76,30,20,74,19,0,6,0,56,4,0,0,59,26,5.938
E6M9,nodudes,STALLED,exploration_oscillation,317,157,2,1.27,2,1,6,1,0,12,0,4,6,0,5,2,307,5.454
E6M9,normal,LOOP_DETECTED,navigation_or_goal_loop,457,157,2,1.27,2,1,6,1,0,13,0,68,6,0,6,2,440,5.468
