map,mode,result,stop_category,game_time,total_sectors,sectors_entered,sector_entered_percent,sectors_observed,max_depth,items_discovered,items_picked_up,keys,interactions_discovered,interactions_activated,route_plans,route_failures,portal_failures,escape_failures,interaction_route_failures,repeat_selections,loop_breaks,topology_rebuilds,no_new_sector_seconds,wall_seconds
E1M1,nodudes,TIMEOUT,prerequisite_unresolved,600,155,25,16.13,31,19,4,2,1,30,6,217,8,1,0,0,8,3,30,95,2.843
E1M2,nodudes,STALLED,prerequisite_unresolved,497,313,7,2.24,7,2,1,1,0,4,0,13,1369,0,0,0,4,0,6,322,1.485
E1M3,nodudes,DIED,combat_blocked,104,329,8,2.43,9,4,4,2,0,12,0,12,3,0,0,0,0,0,6,47,1.984
E1M4,nodudes,STALLED,traversal_execution_stall,450,398,12,3.02,12,7,2,2,0,0,0,495,0,0,0,0,1,1,11,385,1.641
E1M5,nodudes,STALLED,unknown_no_progress_nodudes,307,429,1,0.23,2,0,2,2,0,7,0,0,0,0,0,0,0,0,1,307,1.141
E1M6,nodudes,DIED,combat_blocked,258,526,21,3.99,22,18,6,1,0,4,0,19,1,0,0,0,1,1,25,25,1.343
E1M7,nodudes,TIMEOUT,traversal_execution_stall,600,53,29,54.72,30,17,17,8,0,0,0,576,193,0,0,0,4,1,35,281,3.094
E1M8,nodudes,TIMEOUT,prerequisite_unresolved,600,433,55,12.7,60,44,8,1,0,41,3,599,16,0,0,0,11,0,472,208,6.031
E2M1,nodudes,WALL_TIMEOUT,wall_clock_performance_limit,153,249,7,2.81,7,5,3,0,0,0,0,141,14,0,0,0,0,0,69,72,30.141
E2M2,nodudes,DIED,combat_blocked,310,290,31,10.69,33,25,8,2,0,32,7,318,0,0,0,0,2,0,228,223,5.234
E2M3,nodudes,TIMEOUT,navigation_dead_end,600,340,39,11.47,39,18,21,6,0,8,2,165,0,4,0,0,7,1,43,452,2.0
E2M4,nodudes,STALLED,navigation_dead_end,494,632,47,7.44,57,31,18,4,0,30,1,419,25,0,0,0,1,0,54,310,3.266
E2M5,nodudes,LOOP_DETECTED,navigation_or_goal_loop,424,788,37,4.7,37,21,5,2,0,2,1,159,0,0,0,0,2,6,33,299,1.578
E2M6,nodudes,DIED,combat_blocked,431,237,11,4.64,14,7,12,9,0,6,0,196,14,0,0,0,17,0,356,249,9.656
E2M7,nodudes,DIED,combat_blocked,54,449,8,1.78,8,4,4,3,0,0,0,31,0,0,0,0,3,0,12,6,1.11
E2M8,nodudes,DIED,combat_blocked,235,59,9,15.25,9,7,4,3,0,1,0,26,1,0,0,0,0,0,5,113,1.187
E2M9,nodudes,STALLED,unknown_no_progress_nodudes,344,166,1,0.6,1,0,4,3,0,0,0,19,0,0,0,0,2,0,69,344,1.656
E3M1,nodudes,TIMEOUT,prerequisite_unresolved,600,382,21,5.5,32,12,8,6,0,22,2,67,7,1,0,1,9,0,29,358,3.75
E3M2,nodudes,TIMEOUT,traversal_execution_stall,600,567,18,3.17,20,7,3,0,0,8,2,69,0,0,0,0,9,0,14,154,1.563
E3M3,nodudes,STALLED,navigation_dead_end,381,309,25,8.09,25,23,6,3,0,1,0,5,5,0,0,0,7,0,24,302,1.265
E3M4,nodudes,STALLED,prerequisite_unresolved,560,434,11,2.53,11,5,2,1,0,5,0,57,4,0,0,1,15,0,7,452,1.938
E3M5,nodudes,DIED,combat_blocked,198,341,36,10.56,36,29,7,2,0,6,2,155,0,1,0,0,0,0,115,16,1.562
E3M6,nodudes,TIMEOUT,exploration_oscillation,600,533,15,2.81,15,9,7,2,0,13,2,63,0,0,0,0,7,0,13,346,1.36
E3M7,nodudes,DIED,combat_blocked,426,142,19,13.38,20,13,4,2,0,1,0,47,122,9,0,0,13,0,18,287,1.297
E3M8,nodudes,TIMEOUT,navigation_dead_end,600,631,37,5.86,37,27,10,7,0,6,3,90,476,1,0,0,32,0,70,506,4.219
