map,mode,result,stop_category,game_time,total_sectors,sectors_entered,sector_entered_percent,sectors_observed,max_depth,items_discovered,items_picked_up,keys,interactions_discovered,interactions_activated,route_plans,route_failures,portal_failures,escape_failures,interaction_route_failures,repeat_selections,loop_breaks,topology_rebuilds,no_new_sector_seconds,wall_seconds
E4M1,nodudes,TIMEOUT,traversal_execution_stall,600,215,21,9.77,23,13,3,1,0,7,1,745,1,0,0,0,6,0,18,40,1.578
E4M2,nodudes,TIMEOUT,navigation_dead_end,600,291,50,17.18,51,33,12,5,0,2,0,34,0,0,0,0,4,0,40,420,1.812
E4M3,nodudes,DIED,combat_blocked,210,471,7,1.49,7,4,3,0,0,0,0,20,0,0,0,0,0,0,4,22,1.141
E4M4,nodudes,STALLED,unknown_no_progress_nodudes,357,258,7,2.71,8,4,9,4,0,0,0,28,0,0,0,0,0,0,4,333,1.281
E4M5,nodudes,DIED,combat_blocked,91,252,9,3.57,9,5,13,7,0,6,0,33,2,0,0,0,1,0,22,4,2.391
E4M6,nodudes,TIMEOUT,interaction_unresolved,600,519,25,4.82,26,18,10,5,0,8,2,197,8,0,0,0,36,0,25,303,1.703
E4M7,nodudes,STALLED,unknown_no_progress_nodudes,369,147,15,10.2,17,6,9,3,0,0,0,43,8,0,0,0,0,0,56,300,1.328
E4M8,nodudes,TIMEOUT,traversal_execution_stall,600,80,26,32.5,26,12,10,3,0,2,0,93,0,0,0,0,9,1,20,478,6.891
E4M9,nodudes,LOOP_DETECTED,navigation_or_goal_loop,588,228,56,24.56,58,30,28,10,0,15,1,182,8,0,0,0,4,6,47,294,2.859
E6M1,nodudes,TIMEOUT,navigation_dead_end,600,123,29,23.58,29,14,16,7,1,49,2,114,16,4,0,0,20,0,30,139,2.985
E6M2,nodudes,STALLED,navigation_dead_end,358,271,7,2.58,8,4,6,3,0,0,0,4,1,0,0,0,1,0,6,324,1.125
E6M3,nodudes,TIMEOUT,interaction_unresolved,600,240,11,4.58,11,6,11,9,0,2,0,157,1024,0,5,0,6,0,8,492,3.391
E6M4,nodudes,DIED,environmental_or_scripted_damage,77,373,14,3.75,15,9,8,4,0,4,0,24,0,0,0,0,0,0,9,12,1.125
E6M5,nodudes,DIED,combat_blocked,195,340,6,1.76,6,4,0,0,0,0,0,14,0,1,0,0,0,0,4,149,1.203
E6M6,nodudes,TIMEOUT,navigation_dead_end,600,372,24,6.45,24,12,8,7,1,11,2,513,622,0,0,0,7,0,29,249,2.312
E6M7,nodudes,TIMEOUT,timeout_or_efficiency,600,472,10,2.12,10,5,4,3,0,4,0,19,0,0,0,0,2,0,10,351,1.406
E6M8,nodudes,TIMEOUT,navigation_dead_end,600,85,46,54.12,48,38,101,32,0,10,0,43,0,0,0,0,10,0,36,151,2.985
E6M9,nodudes,STALLED,navigation_dead_end,317,157,2,1.27,2,1,6,1,0,11,0,5,0,4,0,0,0,5,2,308,1.203
