map,mode,result,stop_category,game_time,total_sectors,sectors_entered,sector_entered_percent,sectors_observed,max_depth,items_discovered,items_picked_up,keys,interactions_discovered,interactions_activated,route_plans,route_failures,portal_failures,escape_failures,interaction_route_failures,repeat_selections,loop_breaks,topology_rebuilds,no_new_sector_seconds,wall_seconds
E1M1,nodudes,TIMEOUT,prerequisite_unresolved,600,155,22,14.19,27,18,4,2,1,28,5,215,116,41,0,0,10,3,28,298,6.891
E1M2,nodudes,STALLED,prerequisite_unresolved,497,313,7,2.24,7,2,1,1,0,4,0,13,1587,0,0,0,4,0,6,322,5.671
E1M3,nodudes,DIED,combat_blocked,104,329,8,2.43,9,4,4,2,0,12,0,12,188,0,0,0,0,0,6,47,6.063
E1M4,nodudes,STALLED,traversal_execution_stall,450,398,12,3.02,12,7,2,2,0,0,0,495,0,0,0,0,1,1,11,385,5.781
E1M5,nodudes,STALLED,unknown_no_progress_nodudes,307,429,1,0.23,2,0,2,2,0,7,0,0,0,0,0,0,0,0,1,307,5.344
E1M6,nodudes,DIED,combat_blocked,258,526,21,3.99,22,18,6,1,0,4,0,19,38,0,0,0,1,1,25,25,5.547
E1M7,nodudes,TIMEOUT,traversal_execution_stall,600,53,29,54.72,30,17,17,8,0,0,0,576,232,0,0,0,4,1,35,281,7.312
E1M8,nodudes,TIMEOUT,navigation_dead_end,600,433,56,12.93,60,44,8,2,0,41,3,515,90,0,0,0,9,0,430,267,9.641
E2M1,nodudes,WALL_TIMEOUT,wall_clock_performance_limit,142,249,7,2.81,7,5,3,0,0,0,0,128,69,0,0,0,0,0,60,61,30.141
E2M2,nodudes,DIED,combat_blocked,310,290,31,10.69,33,25,8,2,0,32,7,318,0,0,0,0,2,0,228,223,9.281
E2M3,nodudes,TIMEOUT,navigation_dead_end,600,340,39,11.47,39,18,22,7,0,10,2,165,1,28,0,0,5,1,43,452,6.125
E2M4,nodudes,STALLED,navigation_dead_end,492,632,47,7.44,57,31,18,4,0,30,1,457,73,0,0,0,1,0,54,309,7.406
E2M5,nodudes,LOOP_DETECTED,navigation_or_goal_loop,424,788,37,4.7,37,21,5,2,0,2,1,159,0,0,0,0,2,6,33,299,5.766
E2M6,nodudes,DIED,combat_blocked,431,237,11,4.64,14,7,12,9,0,6,0,196,23,0,0,0,17,0,356,249,14.125
E2M7,nodudes,DIED,combat_blocked,54,449,8,1.78,8,4,4,3,0,0,0,31,0,0,0,0,3,0,12,6,5.297
E2M8,nodudes,DIED,combat_blocked,235,59,9,15.25,9,7,4,3,0,1,0,26,40,0,0,0,0,0,5,113,5.391
E2M9,nodudes,STALLED,unknown_no_progress_nodudes,344,166,1,0.6,1,0,4,3,0,0,0,19,0,0,0,0,2,0,69,344,5.89
E3M1,nodudes,TIMEOUT,prerequisite_unresolved,600,382,21,5.5,32,12,8,7,0,22,2,79,264,2,0,0,10,0,26,360,8.344
E3M2,nodudes,TIMEOUT,traversal_execution_stall,600,567,18,3.17,20,7,3,0,0,8,2,69,0,0,0,0,9,0,14,154,5.875
E3M3,nodudes,STALLED,navigation_dead_end,382,309,25,8.09,25,22,6,3,0,1,0,6,194,0,0,0,7,0,24,302,5.515
E3M4,nodudes,STALLED,prerequisite_unresolved,510,434,11,2.53,11,5,2,1,0,5,0,52,118,0,0,0,8,0,7,402,6.047
E3M5,nodudes,DIED,combat_blocked,198,341,36,10.56,36,29,7,2,0,6,2,155,0,55,0,0,0,0,115,16,5.891
E3M6,nodudes,TIMEOUT,exploration_oscillation,600,533,15,2.81,15,9,7,2,0,13,2,63,0,0,0,0,7,0,13,346,5.563
E3M7,nodudes,TIMEOUT,navigation_dead_end,600,142,39,27.46,40,23,16,5,0,6,2,341,319,337,0,0,10,0,41,142,6.172
E3M8,nodudes,TIMEOUT,navigation_dead_end,600,631,37,5.86,37,27,10,7,0,6,3,90,482,2,0,0,32,0,70,506,8.406
E4M1,nodudes,TIMEOUT,traversal_execution_stall,600,215,21,9.77,23,13,3,1,0,7,1,745,40,0,0,0,6,0,18,40,5.89
E4M2,nodudes,TIMEOUT,navigation_dead_end,600,291,50,17.18,51,33,12,5,0,2,0,34,0,0,0,0,4,0,40,420,6.0
E4M3,nodudes,DIED,combat_blocked,210,471,7,1.49,7,4,3,0,0,0,0,20,0,0,0,0,0,0,4,22,5.375
E4M4,nodudes,STALLED,unknown_no_progress_nodudes,357,258,7,2.71,8,4,9,4,0,0,0,28,0,0,0,0,0,0,4,333,5.468
E4M5,nodudes,DIED,combat_blocked,91,252,9,3.57,9,5,13,7,0,6,0,33,42,0,0,0,1,0,22,4,6.563
E4M6,nodudes,TIMEOUT,interaction_unresolved,600,519,25,4.82,26,18,10,5,0,8,2,196,89,0,0,0,36,0,25,303,5.89
E4M7,nodudes,STALLED,unknown_no_progress_nodudes,369,147,15,10.2,17,6,9,3,0,0,0,43,16,0,0,0,0,0,56,300,5.5
E4M8,nodudes,TIMEOUT,traversal_execution_stall,600,80,26,32.5,26,12,10,3,0,2,0,93,0,0,0,0,9,1,20,478,12.75
E4M9,nodudes,LOOP_DETECTED,navigation_or_goal_loop,588,228,56,24.56,58,30,28,10,0,15,1,182,166,0,0,0,4,6,47,294,7.032
E6M1,nodudes,TIMEOUT,navigation_dead_end,600,123,29,23.58,29,14,16,7,1,49,2,102,649,17,0,0,13,0,30,137,7.093
E6M2,nodudes,STALLED,navigation_dead_end,358,271,7,2.58,8,4,6,3,0,0,0,4,37,0,0,0,1,0,6,324,5.313
E6M3,nodudes,STALLED,navigation_dead_end,363,240,10,4.17,10,6,11,3,0,2,0,7,4468,0,0,0,0,5,8,300,17.25
E6M4,nodudes,DIED,environmental_or_scripted_damage,77,373,14,3.75,15,9,8,4,0,4,0,24,0,0,0,0,0,0,9,12,5.313
E6M5,nodudes,DIED,combat_blocked,195,340,6,1.76,6,4,0,0,0,0,0,45,0,25,0,0,0,0,4,147,5.343
E6M6,nodudes,TIMEOUT,navigation_dead_end,600,372,24,6.45,24,12,8,7,1,11,2,512,671,0,0,0,7,0,29,250,6.531
E6M7,nodudes,TIMEOUT,timeout_or_efficiency,600,472,10,2.12,10,5,4,3,0,4,0,19,0,0,0,0,2,0,10,351,5.563
E6M8,nodudes,TIMEOUT,navigation_dead_end,600,85,46,54.12,48,38,101,32,0,10,0,43,0,0,0,0,10,0,36,151,7.094
E6M9,nodudes,STALLED,navigation_dead_end,317,157,2,1.27,2,1,6,1,0,11,0,5,0,1631,0,0,0,5,2,308,5.546
